,CAC_pct,DAX_pct,FTSE_pct,Hang Seng_pct,NIFTY_pct,Nikkei_pct,Shanghai Composite_pct,CAC_shock,DAX_shock,FTSE_shock,Hang Seng_shock,NIFTY_shock,Nikkei_shock,Shanghai Composite_shock,Weighted_Global_Move,Weighted_Shock_Score,Global_Volatility_5d,Europe_vs_Asia
2015-05-06 00:00:00+00:00,-2.1232,-2.514404,-0.835956,-0.412995,-2.7364,0.0,-1.615368,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.4569648000000002,0.45000000000000007,0.917076276428274,-0.6333292499999998
2015-05-07 00:00:00+00:00,0.151184,0.19837,0.088055,-1.269638,-0.490307,-1.226936,-2.767673,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.88629665,0.05,0.8625481101124549,1.5845081666666667
2015-05-08 00:00:00+00:00,-0.288455,0.509415,-0.673525,1.053021,1.665573,0.451997,2.278654,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1357155,0.4,1.1126857049567307,-1.5131662499999998
2015-05-11 00:00:00+00:00,2.479655,2.645175,2.320311,0.510779,1.63279,1.247321,3.035414,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.3893548500000001,0.55,1.2678171393093274,0.8751376666666668
2015-05-12 00:00:00+00:00,-1.228197,-0.310689,-0.239824,-1.122077,-2.381908,0.020028,1.560723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.2588093000000002,0.4,1.3675744639548422,-0.11209483333333331
2015-05-13 00:00:00+00:00,-1.058504,-1.721352,-1.367019,-0.576128,1.335064,0.712775,-0.578464,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3013329,0.05,1.1819737218051254,-1.6056034166666666
2015-05-14 00:00:00+00:00,-0.257104,-1.05427,0.227874,0.13678,-0.136605,-0.983978,0.058305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1796801,0.0,1.0656668022744398,-0.12979216666666663
2015-05-15 00:00:00+00:00,1.359373,1.835538,0.336709,1.963343,0.463868,0.831261,-1.590114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916441775,0.0,1.025270182263751,0.7601171666666666
2015-05-18 00:00:00+00:00,-0.705668,-0.975708,-0.179263,-0.830375,1.347084,0.797396,-0.584858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3290900500000001,0.0,0.814478982921796,-0.8025247499999999
2015-05-19 00:00:00+00:00,0.370262,1.28636,0.12068,0.37073,-0.095538,0.684311,3.129703,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3795851499999999,0.05,0.3889396481661347,-0.42986750000000007
2015-05-20 00:00:00+00:00,2.094638,2.23429,0.375959,-0.391746,0.688525,0.849778,0.650503,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44489920000000005,0.025,0.3898066236231901,1.1190306666666667
2015-05-21 00:00:00+00:00,0.312665,-0.041004,0.174404,-0.222331,-0.026712,0.031236,1.869735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036299775000000006,0.0,0.3178798002608403,-0.26429366666666665
2015-05-22 00:00:00+00:00,0.261048,0.136052,0.088482,1.704382,0.450661,0.304615,2.829816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8931136500000001,0.0,0.30883751995664854,-1.1605078333333334
2015-05-26 00:00:00+00:00,-0.074029,-0.417883,0.259502,0.918197,-0.369169,0.116152,2.0171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2467466,0.0,0.31676416752462255,-0.74804
2015-05-27 00:00:00+00:00,-0.657197,-1.607107,-1.176105,-0.596989,-0.056959,0.171741,0.627521,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.26015595,0.05,0.4344704885814546,-1.1831315
2015-05-28 00:00:00+00:00,1.94726,1.2559,1.213121,-2.232455,-0.187167,0.3853,-6.504783,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.8713123999999999,0.425,0.6492920178248449,3.6068699166666667
2015-05-29 00:00:00+00:00,-0.862507,-0.794822,0.108059,-0.109714,1.378175,0.056879,-0.184448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4816349750000001,0.0,0.6836207418300082,-0.8016463333333332
2015-06-01 00:00:00+00:00,-2.529082,-2.258603,-0.802454,0.630723,-0.002964,0.032674,4.70524,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2683795749999999,0.1,0.5450048029145674,-3.2047979166666667
2015-06-02 00:00:00+00:00,0.347645,0.194759,-0.44098,-0.472655,-2.335359,-0.129703,1.693798,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.01919455,0.4,0.6665696949330864,0.34478775000000006
2015-06-03 00:00:00+00:00,-0.414699,-0.937824,-0.363845,0.694477,-1.230507,-0.339186,-0.011177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38730177500000007,0.0,0.6680408541491415,-0.35052441666666667
2015-06-04 00:00:00+00:00,0.59367,0.801676,0.320428,-0.381742,-0.054704,0.071701,0.756093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03693935000000001,0.0,0.5911763665242915,0.47408766666666674
2015-06-05 00:00:00+00:00,-0.934415,-0.691971,-1.313572,-1.05884,-0.196168,-0.133194,1.536134,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.44562985000000005,0.05,0.483583933001552,-1.016969
2015-06-08 00:00:00+00:00,-1.33122,-1.264917,-0.796013,0.205865,-0.869413,-0.018137,2.16569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.285145825,0.0,0.36213941275372946,-1.5017179166666668
2015-06-09 00:00:00+00:00,-1.281923,-1.18093,-0.214562,-1.196209,-0.270383,-1.764117,-0.357504,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.821808075,0.15,0.28507125428302077,0.004581583333333361
2015-06-10 00:00:00+00:00,-0.153159,-0.57506,-0.53314,-1.118504,1.272067,-0.24851,-0.146631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08380507500000005,0.0,0.3571460026632514,-0.36005850000000006
2015-06-11 00:00:00+00:00,1.746105,2.400624,1.132696,0.825135,-1.958288,1.679164,0.304672,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.10836347500000015,0.5750000000000001,0.34516411962632554,1.5471375833333332
2015-06-12 00:00:00+00:00,0.738817,0.598209,0.240112,1.385058,0.220327,0.118282,0.873895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6105164999999999,0.0,0.5229449442839775,-0.12367783333333338
2015-06-15 00:00:00+00:00,-1.411687,-1.202618,-0.902629,-1.534898,0.38833,-0.094531,-2.000579,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.529835075,0.3,0.5546024093345705,-0.3618918333333332
2015-06-16 00:00:00+00:00,-1.751209,-1.889168,-1.096551,-1.098628,0.416775,-0.636899,-3.467535,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5776269749999999,0.05,0.487719485220979,-0.38240425
2015-06-17 00:00:00+00:00,0.508789,0.537462,-0.005959,0.704227,0.549874,-0.190888,1.646382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.510761925,0.0,0.560789862970136,-0.33063475000000003
2015-06-18 00:00:00+00:00,-1.01738,-0.597609,-0.439636,-0.221011,1.026383,-1.129859,-3.674431,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.07130702499999994,0.2,0.5595556108638193,0.31485450000000004
2015-06-19 00:00:00+00:00,0.268438,1.113955,0.408643,0.24675,0.615933,0.917521,-6.415242,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.19225622499999992,0.05,0.46691413351802225,1.7557714999999998
2015-06-22 00:00:00+00:00,0.247532,-0.542329,0.038762,1.196988,1.558057,1.25878,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.1657043750000002,0.55,0.6515112613939923,-1.08880125
2015-06-23 00:00:00+00:00,3.80531,3.80794,1.716716,0.932804,0.340594,1.866198,2.191167,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0817339000000001,0.25,0.5417655301637848,1.7772979166666667
2015-06-24 00:00:00+00:00,1.181735,0.71585,0.13478,0.26162,-0.246973,0.281648,2.483512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20029822500000002,0.0,0.5682323912868321,-0.01749675000000006
